ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
1416200_at	1	2.71e-02	3.06	-3.76818	1.36	Il33	interleukin 33
1438948_x_at	1	2.71e-02	-3.06	-3.768608	-3.70e-01	Tspo	translocator protein
1427972_at	1	2.71e-02	-3.06	-3.768648	-4.52e-01	Cdc73	cell division cycle 73, Paf1/RNA polymerase II complex component
1435386_at	1	2.71e-02	-3.06	-3.769788	-4.45e-01	Vwf	Von Willebrand factor
1443717_at	1	2.71e-02	-3.06	-3.770032	-3.68	Dpyd	dihydropyrimidine dehydrogenase
1437939_s_at	1	2.71e-02	3.05	-3.770351	7.69e-01	Ctsc	cathepsin C
1460623_at	1	2.71e-02	-3.05	-3.770359	-3.23e-01	Skap2	src family associated phosphoprotein 2
1457746_at	1	2.72e-02	3.05	-3.770654	3.34e-01		
1447811_s_at	1	2.72e-02	3.05	-3.770894	8.27e-01	Amigo1	adhesion molecule with Ig like domain 1
1451608_a_at	1	2.72e-02	3.05	-3.771039	2.31	Tspan33	tetraspanin 33
1423146_at	1	2.72e-02	-3.05	-3.77125	-1.87	Hes5	hairy and enhancer of split 5 (Drosophila)
1423457_at	1	2.72e-02	-3.05	-3.772005	-2.96e-01	Slc35a5	solute carrier family 35, member A5
1434098_at	1	2.72e-02	3.05	-3.77247	2.59	Glra2	glycine receptor, alpha 2 subunit
1436409_at	1	2.72e-02	3.05	-3.772633	7.98e-01	Cox8a	cytochrome c oxidase subunit VIIIa
1424056_at	1	2.72e-02	3.05	-3.773007	2.56e-01	Usp48	ubiquitin specific peptidase 48
1427270_a_at	1	2.72e-02	-3.05	-3.773944	-3.01e-01	Bsdc1	BSD domain containing 1
1440599_at	1	2.72e-02	-3.05	-3.773952	-2.41	Olfr658	olfactory receptor 658
1428880_at	1	2.72e-02	-3.05	-3.774414	-2.91e-01	Sdhaf2	succinate dehydrogenase complex assembly factor 2
1435450_at	1	2.73e-02	-3.05	-3.775507	-2.69e-01	Cpne3	copine III
1431724_a_at	1	2.73e-02	3.05	-3.776388	9.02e-01	P2ry12	purinergic receptor P2Y, G-protein coupled 12
1435602_at	1	2.73e-02	3.05	-3.776983	2.96e-01	Sephs2	selenophosphate synthetase 2
1429926_at	1	2.73e-02	3.05	-3.776987	3.85e-01	Apool	apolipoprotein O-like
1444825_at	1	2.73e-02	-3.05	-3.777275	-7.82e-01		
1456384_at	1	2.73e-02	3.05	-3.777524	9.21e-01	Nlgn3	neuroligin 3
1423348_at	1	2.73e-02	-3.05	-3.778211	-8.78e-01	Fzd8	frizzled class receptor 8
1436258_at	1	2.74e-02	-3.05	-3.778804	-1.37	Arhgef9	CDC42 guanine nucleotide exchange factor (GEF) 9
1456006_at	1	2.74e-02	-3.05	-3.77945	-8.28e-01	Bcl2l11	BCL2-like 11 (apoptosis facilitator)
1418774_a_at	1	2.74e-02	-3.05	-3.779579	-4.47e-01	Atp7a	ATPase, Cu++ transporting, alpha polypeptide
1420960_at	1	2.74e-02	3.05	-3.780231	3.17e-01	Fancg	Fanconi anemia, complementation group G
1422811_at	1	2.74e-02	-3.05	-3.781106	-9.67e-01	Slc27a1	solute carrier family 27 (fatty acid transporter), member 1
1438028_at	1	2.74e-02	-3.05	-3.781191	-4.02e-01	Rprd2	regulation of nuclear pre-mRNA domain containing 2
1417457_at	1	2.74e-02	3.05	-3.781421	3.39e-01	Cks2	CDC28 protein kinase regulatory subunit 2
1448639_a_at	1	2.74e-02	3.05	-3.781506	3.84e-01	Spata5	spermatogenesis associated 5
1433968_a_at	1	2.74e-02	3.05	-3.781608	4.24e-01	Megf9	multiple EGF-like-domains 9
1431189_a_at	1	2.74e-02	-3.05	-3.782303	-3.42e-01	Fahd2a	fumarylacetoacetate hydrolase domain containing 2A
1453737_at	1	2.74e-02	-3.05	-3.782335	-3.22e-01	Wipf2	WAS/WASL interacting protein family, member 2
1447799_x_at	1	2.75e-02	-3.05	-3.782543	-5.08e-01	1700001P01Rik	RIKEN cDNA 1700001P01 gene
1427565_a_at	1	2.75e-02	3.04	-3.782765	3.11e-01	Abcc5	ATP-binding cassette, sub-family C (CFTR/MRP), member 5
1453964_at	1	2.75e-02	-3.04	-3.782927	-7.87e-01	1700021A07Rik	RIKEN cDNA 1700021A07 gene
1418809_at	1	2.75e-02	-3.04	-3.783289	-8.75e-01	Pirb///Pira5///Pira2///Pira11///Pira1	paired Ig-like receptor B///paired-Ig-like receptor A5///paired-Ig-like receptor A2///paired-Ig-like receptor A11///paired-Ig-like receptor A1
1458279_at	1	2.75e-02	-3.04	-3.783384	-4.93e-01		
1422882_at	1	2.75e-02	-3.04	-3.783713	-5.59e-01	Sypl	synaptophysin-like protein
1435852_at	1	2.75e-02	-3.04	-3.783918	-9.72e-01	Spred3	sprouty-related, EVH1 domain containing 3
1435543_at	1	2.75e-02	-3.04	-3.784791	-3.22e-01	Apc	adenomatosis polyposis coli
1452939_a_at	1	2.75e-02	3.04	-3.784881	3.74e-01	Pitpnc1	phosphatidylinositol transfer protein, cytoplasmic 1
1434913_at	1	2.75e-02	3.04	-3.786062	3.51	Hmgcll1	3-hydroxymethyl-3-methylglutaryl-Coenzyme A lyase-like 1
1433367_at	1	2.75e-02	-3.04	-3.78637	-4.90e-01	8430401P03Rik	RIKEN cDNA 8430401P03 gene
1418481_at	1	2.76e-02	3.04	-3.786426	5.03e-01	Pkmyt1	protein kinase, membrane associated tyrosine/threonine 1
1428933_at	1	2.76e-02	-3.04	-3.786771	-4.39e-01	Hdac8	histone deacetylase 8
1440659_at	1	2.76e-02	3.04	-3.786795	4.51e-01		
1419050_at	1	2.76e-02	-3.04	-3.787676	-1.74	Tmem8c	transmembrane protein 8C
1453476_at	1	2.76e-02	3.04	-3.788055	7.96e-01	1700060J05Rik	RIKEN cDNA 1700060J05 gene
1440717_at	1	2.76e-02	-3.04	-3.788414	-6.92e-01	AA407881	expressed sequence AA407881
1452398_at	1	2.76e-02	3.04	-3.788469	1.19	Plce1	phospholipase C, epsilon 1
1418120_at	1	2.76e-02	3.04	-3.788513	2.74e-01	Rbm8a	RNA binding motif protein 8a
1447337_at	1	2.76e-02	3.04	-3.788826	3.91e-01		
1425930_a_at	1	2.76e-02	-3.04	-3.789166	-3.23e-01	Mlx	MAX-like protein X
1454921_at	1	2.76e-02	-3.04	-3.789299	-3.50e-01	Gm561	predicted gene 561
1434260_at	1	2.76e-02	-3.04	-3.789759	-4.20e-01	Fchsd2	FCH and double SH3 domains 2
1458238_at	1	2.77e-02	-3.04	-3.79092	-5.19e-01	Arid5b	AT rich interactive domain 5B (MRF1-like)
1460010_a_at	1	2.77e-02	-3.04	-3.791037	-3.46e-01	Ptdss2	phosphatidylserine synthase 2
1450174_at	1	2.77e-02	3.04	-3.791159	8.62e-01	Ptprt	protein tyrosine phosphatase, receptor type, T
1429676_at	1	2.77e-02	-3.04	-3.791297	-4.36e-01		
1416762_at	1	2.77e-02	-3.04	-3.791468	-3.04e-01	S100a10	S100 calcium binding protein A10 (calpactin)
1460204_at	1	2.77e-02	-3.04	-3.791609	-3.77e-01	Tec	tec protein tyrosine kinase
1436218_at	1	2.77e-02	-3.04	-3.791763	-1.23	Lgr6	leucine-rich repeat-containing G protein-coupled receptor 6
1424897_at	1	2.77e-02	-3.04	-3.792081	-8.38e-01	Gpr85	G protein-coupled receptor 85
1424169_at	1	2.77e-02	-3.04	-3.792216	-4.93e-01	Tax1bp3	Tax1 (human T cell leukemia virus type I) binding protein 3
1419285_s_at	1	2.77e-02	-3.04	-3.792228	-5.50e-01	Cyhr1	cysteine and histidine rich 1
1444574_at	1	2.77e-02	-3.04	-3.793204	-3.10e-01		
1449650_at	1	2.77e-02	3.04	-3.794027	4.59e-01		
1446938_at	1	2.78e-02	-3.04	-3.794331	-4.68e-01	AA408213	expressed sequence AA408213
1442151_at	1	2.78e-02	3.03	-3.796223	4.47e-01	D230040A04Rik	RIKEN cDNA D230040A04 gene
1427189_at	1	2.78e-02	3.03	-3.79626	2.88e-01	Arih1	ariadne RBR E3 ubiquitin protein ligase 1
1460318_at	1	2.78e-02	-3.03	-3.79658	-5.71e-01	Csrp3	cysteine and glycine-rich protein 3
1447328_at	1	2.78e-02	3.03	-3.796595	3.62e-01		
1430348_at	1	2.78e-02	-3.03	-3.796753	-1.01	2900019E01Rik	RIKEN cDNA 2900019E01 gene
1426427_at	1	2.78e-02	-3.03	-3.796851	-4.97e-01	Ttll1	tubulin tyrosine ligase-like 1
1453186_at	1	2.78e-02	3.03	-3.797033	4.20e-01	Pnisr	PNN interacting serine/arginine-rich
1425153_at	1	2.78e-02	-3.03	-3.797274	-2.17	Myh2	myosin, heavy polypeptide 2, skeletal muscle, adult
1422557_s_at	1	2.78e-02	3.03	-3.797458	4.48e-01	Mt1	metallothionein 1
1419165_at	1	2.78e-02	-3.03	-3.797617	-3.02e-01	Zfp260	zinc finger protein 260
1454899_at	1	2.78e-02	-3.03	-3.797661	-3.51e-01	Lpp	LIM domain containing preferred translocation partner in lipoma
1437139_at	1	2.78e-02	3.03	-3.79768	2.06	Glra1	glycine receptor, alpha 1 subunit
1416013_at	1	2.78e-02	-3.03	-3.797694	-2.95e-01	Pld3	phospholipase D family, member 3
1439826_at	1	2.78e-02	3.03	-3.797931	1.15	Hspa14	heat shock protein 14
1450045_at	1	2.79e-02	3.03	-3.79821	5.66e-01	Srrm1	serine/arginine repetitive matrix 1
1447416_at	1	2.79e-02	-3.03	-3.798885	-4.60e-01	Myrfl	myelin regulatory factor-like
1427010_s_at	1	2.79e-02	-3.03	-3.798905	-5.49e-01	Lama5	laminin, alpha 5
1448503_at	1	2.79e-02	3.03	-3.799261	2.89e-01	Mcl1	myeloid cell leukemia sequence 1
1420899_at	1	2.79e-02	-3.03	-3.799312	-2.89e-01	Rab18	RAB18, member RAS oncogene family
1432966_at	1	2.79e-02	-3.03	-3.799356	-1.16	4921507H08Rik	RIKEN cDNA 4921507H08 gene
1423622_a_at	1	2.79e-02	3.03	-3.799734	3.36e-01	Ccnl1	cyclin L1
1432432_a_at	1	2.79e-02	-3.03	-3.800607	-2.39	Rab3c	RAB3C, member RAS oncogene family
1444493_at	1	2.79e-02	-3.03	-3.800618	-8.47e-01		
1448138_at	1	2.79e-02	-3.03	-3.800885	-3.61e-01	Ptpa	protein phosphatase 2 protein activator
1442118_at	1	2.79e-02	-3.03	-3.801138	-5.70e-01		
1435746_at	1	2.79e-02	-3.03	-3.801713	-2.88e-01	Srpk2	serine/arginine-rich protein specific kinase 2
1448135_at	1	2.79e-02	3.03	-3.802003	3.39e-01	Atf4	activating transcription factor 4
1416207_at	1	2.80e-02	-3.03	-3.802177	-2.97e-01	Taz	tafazzin
1429454_at	1	2.80e-02	-3.03	-3.80287	-2.57e-01	Gapvd1	GTPase activating protein and VPS9 domains 1
1436943_at	1	2.80e-02	-3.03	-3.802924	-4.13e-01	Cyb5d2	cytochrome b5 domain containing 2
1417232_at	1	2.80e-02	-3.03	-3.803139	-2.12	Cldn2	claudin 2
1436444_at	1	2.80e-02	3.03	-3.80325	1.60	Sertm1	serine rich and transmembrane domain containing 1
1447060_at	1	2.80e-02	-3.03	-3.803295	-5.79e-01		
1424706_at	1	2.80e-02	3.03	-3.803373	4.60e-01	Zfp51	zinc finger protein 51
1448298_at	1	2.80e-02	3.03	-3.803674	3.22e-01	Tnk2	tyrosine kinase, non-receptor, 2
1449978_at	1	2.80e-02	-3.03	-3.803724	-5.21e-01	Zfy2	zinc finger protein 2, Y-linked
1442704_at	1	2.80e-02	-3.03	-3.803838	-3.59e-01		
1442497_at	1	2.80e-02	3.03	-3.804369	2.96e-01	Smchd1	SMC hinge domain containing 1
1444367_at	1	2.80e-02	-3.03	-3.804384	-9.06e-01	Fndc7	fibronectin type III domain containing 7
1426332_a_at	1	2.80e-02	3.03	-3.80461	2.16	Cldn3	claudin 3
1418647_at	1	2.80e-02	-3.03	-3.804906	-3.81e-01	Gnl1	guanine nucleotide binding protein-like 1
1441742_at	1	2.80e-02	-3.03	-3.80511	-1.32	Kcnh5	potassium voltage-gated channel, subfamily H (eag-related), member 5
1419195_at	1	2.80e-02	3.03	-3.805662	5.55e-01	Wfdc15b	WAP four-disulfide core domain 15B
1434928_at	1	2.80e-02	-3.03	-3.805815	-5.64e-01	Gas2l1	growth arrest-specific 2 like 1
1417949_at	1	2.81e-02	3.03	-3.806313	3.25e-01	Ilf2	interleukin enhancer binding factor 2
1423109_s_at	1	2.81e-02	-3.03	-3.806516	-3.24e-01	Slc25a20	solute carrier family 25 (mitochondrial carnitine/acylcarnitine translocase), member 20
1455152_at	1	2.81e-02	-3.03	-3.807089	-4.25e-01	Uqcc3	ubiquinol-cytochrome c reductase complex assembly factor 3
1445723_at	1	2.81e-02	-3.03	-3.807348	-3.04	Plcl1	phospholipase C-like 1
1431200_a_at	1	2.81e-02	-3.03	-3.807374	-4.18e-01	Dph3	diphthamine biosynthesis 3
1423092_at	1	2.81e-02	3.03	-3.807467	3.24e-01	Incenp	inner centromere protein
1426721_s_at	1	2.81e-02	3.03	-3.807587	4.18e-01	Tiparp	TCDD-inducible poly(ADP-ribose) polymerase
1446007_at	1	2.81e-02	-3.03	-3.807717	-2.15		
1423651_at	1	2.81e-02	3.02	-3.808032	3.66e-01	Isca1	iron-sulfur cluster assembly 1
1447405_at	1	2.81e-02	3.02	-3.808453	2.41		
1443770_x_at	1	2.81e-02	-3.02	-3.808505	-9.38e-01		
1431905_s_at	1	2.81e-02	-3.02	-3.808948	-7.35e-01	4933427G17Rik	RIKEN cDNA 4933427G17 gene
1421393_at	1	2.81e-02	-3.02	-3.809	-2.12	Grin2d	glutamate receptor, ionotropic, NMDA2D (epsilon 4)
1456000_at	1	2.81e-02	3.02	-3.809307	4.92e-01	Ddx18	DEAD (Asp-Glu-Ala-Asp) box polypeptide 18
1439617_s_at	1	2.81e-02	3.02	-3.809465	1.84	Pck1	phosphoenolpyruvate carboxykinase 1, cytosolic
1420425_at	1	2.82e-02	3.02	-3.810289	1.77	Prdm1	PR domain containing 1, with ZNF domain
1456026_at	1	2.82e-02	-3.02	-3.810691	-4.30e-01	Nhlrc3	NHL repeat containing 3
1418038_s_at	1	2.82e-02	-3.02	-3.810857	-3.37e-01	Dusp19	dual specificity phosphatase 19
1455110_at	1	2.82e-02	3.02	-3.811117	2.80e-01	Gabpb2	GA repeat binding protein, beta 2
1429304_at	1	2.82e-02	-3.02	-3.81151	-6.86e-01	Ankrd10	ankyrin repeat domain 10
1433231_at	1	2.82e-02	3.02	-3.812211	1.25	4933426I03Rik	RIKEN cDNA 4933426I03 gene
1456798_at	1	2.82e-02	-3.02	-3.812213	-4.52e-01	9330118A15Rik	RIKEN cDNA 9330118A15 gene
1443159_at	1	2.82e-02	3.02	-3.812309	8.37e-01	9130221J17Rik	RIKEN cDNA 9130221J17 gene
1447466_at	1	2.82e-02	3.02	-3.812958	4.24e-01		
1460423_x_at	1	2.83e-02	-3.02	-3.814163	-8.70e-01	Igkv9-120///Igk-V1	immunoglobulin kappa chain variable 9-120///immunoglobulin kappa chain variable 1 (V1)
1450044_at	1	2.83e-02	-3.02	-3.814235	-4.26e-01	Fzd7	frizzled class receptor 7
1434519_at	1	2.83e-02	3.02	-3.815783	2.22	Ddah1	dimethylarginine dimethylaminohydrolase 1
1439736_at	1	2.83e-02	3.02	-3.816418	1.83	5830453J16Rik	RIKEN cDNA 5830453J16 gene
1431058_at	1	2.83e-02	3.02	-3.816591	4.91e-01	Htatsf1	HIV TAT specific factor 1
1454335_at	1	2.83e-02	3.02	-3.816701	1.16	9130214F15Rik	RIKEN cDNA 9130214F15 gene
1427505_a_at	1	2.83e-02	-3.02	-3.817058	-4.22e-01	Cradd	CASP2 and RIPK1 domain containing adaptor with death domain
1454632_at	1	2.83e-02	-3.02	-3.817189	-3.39e-01	Tmem229b	transmembrane protein 229B
1451859_at	1	2.83e-02	-3.02	-3.817223	-2.28	Gm10228///1110025L11Rik///Krtap6-1	predicted gene 10228///RIKEN cDNA 1110025L11 gene///keratin associated protein 6-1
1459303_at	1	2.83e-02	3.02	-3.817325	1.16		
1433809_at	1	2.84e-02	-3.02	-3.818872	-1.08	Ddx5	DEAD (Asp-Glu-Ala-Asp) box polypeptide 5
1452094_at	1	2.84e-02	3.02	-3.819477	3.67e-01	P4ha1	procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha 1 polypeptide
1458524_at	1	2.84e-02	-3.02	-3.819625	-5.12e-01	Fndc3a	fibronectin type III domain containing 3A
1456309_x_at	1	2.85e-02	-3.01	-3.821988	-2.86e-01	Lasp1	LIM and SH3 protein 1
1451511_at	1	2.85e-02	3.01	-3.82234	3.30e-01	Hibch	3-hydroxyisobutyryl-Coenzyme A hydrolase
1418523_at	1	2.85e-02	3.01	-3.82292	3.86e-01	Arih2	ariadne RBR E3 ubiquitin protein ligase 2
1428051_a_at	1	2.85e-02	3.01	-3.823111	8.59e-01	Cacna1d	calcium channel, voltage-dependent, L type, alpha 1D subunit
1426665_at	1	2.85e-02	3.01	-3.823112	4.54e-01	Katnb1	katanin p80 (WD40-containing) subunit B 1
1455773_at	1	2.85e-02	3.01	-3.823272	4.84e-01		
1422819_at	1	2.85e-02	-3.01	-3.823579	-3.83e-01	Mrpl36	mitochondrial ribosomal protein L36
1427708_a_at	1	2.85e-02	-3.01	-3.823678	-4.03e-01	Nf2	neurofibromatosis 2
1451248_at	1	2.85e-02	3.01	-3.823986	4.16e-01	Prmt7	protein arginine N-methyltransferase 7
1454084_a_at	1	2.85e-02	-3.01	-3.824018	-3.05e-01	Senp8	SUMO/sentrin specific peptidase 8
1426929_at	1	2.85e-02	3.01	-3.824032	6.85e-01	Celf4	CUGBP, Elav-like family member 4
1430871_at	1	2.85e-02	-3.01	-3.824859	-1.27	Plcb4	phospholipase C, beta 4
1451858_at	1	2.85e-02	3.01	-3.824882	1.57	Mrgpra2a///Mrgpra2b	MAS-related GPR, member A2A///MAS-related GPR, member A2B
1453388_at	1	2.86e-02	-3.01	-3.825394	-7.45e-01	4933416M07Rik	RIKEN cDNA 4933416M07 gene
1444132_at	1	2.86e-02	3.01	-3.825776	2.56	Faap100	Fanconi anemia core complex associated protein 100
1457661_at	1	2.86e-02	3.01	-3.826567	2.01	B930036G03Rik	RIKEN cDNA B930036G03 gene
1421400_at	1	2.86e-02	-3.01	-3.826682	-8.14e-01	Kcnmb1	potassium large conductance calcium-activated channel, subfamily M, beta member 1
1426984_at	1	2.86e-02	-3.01	-3.826789	-3.32e-01	Tmem94	transmembrane protein 94
1427055_at	1	2.86e-02	-3.01	-3.827246	-3.81e-01	Them4	thioesterase superfamily member 4
1418083_at	1	2.86e-02	-3.01	-3.8277	-2.93e-01	0610009B22Rik	RIKEN cDNA 0610009B22 gene
1420908_at	1	2.86e-02	-3.01	-3.827709	-3.31e-01	Cd2ap	CD2-associated protein
1449221_a_at	1	2.86e-02	3.01	-3.828332	3.72e-01	Rrbp1	ribosome binding protein 1
1446401_at	1	2.87e-02	-3.01	-3.828948	-1.71		
1437505_at	1	2.87e-02	-3.01	-3.829138	-4.64e-01		
1456353_at	1	2.87e-02	3.01	-3.829607	6.87e-01		
1447124_at	1	2.87e-02	-3.01	-3.829828	-3.67e-01		
1421035_a_at	1	2.87e-02	-3.01	-3.830356	-6.76e-01	Magi3	membrane associated guanylate kinase, WW and PDZ domain containing 3
1418824_at	1	2.87e-02	-3.01	-3.830372	-3.59e-01	Arf6	ADP-ribosylation factor 6
1440861_a_at	1	2.87e-02	-3.01	-3.830541	-8.04e-01	Kcnc3	potassium voltage gated channel, Shaw-related subfamily, member 3
1444241_at	1	2.87e-02	-3.01	-3.830656	-3.63e-01	Wac	WW domain containing adaptor with coiled-coil
1454485_at	1	2.87e-02	3.01	-3.830976	1.50	4930456G14Rik	RIKEN cDNA 4930456G14 gene
1459020_at	1	2.87e-02	3.01	-3.831182	8.95e-01	Amigo1	adhesion molecule with Ig like domain 1
1427143_at	1	2.87e-02	-3.01	-3.831752	-3.15e-01	Kdm5b	lysine (K)-specific demethylase 5B
1434224_at	1	2.87e-02	3.01	-3.832217	4.27e-01	Tbl2	transducin (beta)-like 2
1434660_at	1	2.87e-02	3.01	-3.832306	3.35e-01	Alkbh1	alkB homolog 1, histone H2A dioxygenase
1453513_at	1	2.87e-02	3.01	-3.832331	7.30e-01	C530020B09Rik	RIKEN cDNA C530020B09 gene
1440747_at	1	2.87e-02	-3.01	-3.832439	-8.47e-01	Cpox	coproporphyrinogen oxidase
1452696_a_at	1	2.88e-02	-3.01	-3.832804	-4.50e-01	4933439C10Rik	RIKEN cDNA 4933439C10 gene
1445155_at	1	2.88e-02	3.00	-3.833836	1.82		
1428652_at	1	2.88e-02	3.00	-3.833943	3.98e-01	0610010F05Rik	RIKEN cDNA 0610010F05 gene
1429884_at	1	2.88e-02	-3.00	-3.834204	-4.40e-01	Srgap2	SLIT-ROBO Rho GTPase activating protein 2
1439960_at	1	2.88e-02	3.00	-3.83426	4.66e-01	Rpusd2	RNA pseudouridylate synthase domain containing 2
1446589_at	1	2.88e-02	-3.00	-3.834263	-4.58e-01		
1431563_at	1	2.88e-02	-3.00	-3.834338	-1.06	2010003K10Rik	RIKEN cDNA 2010003K10 gene
1441912_x_at	1	2.88e-02	-3.00	-3.834473	-4.20e-01	C2	complement component 2 (within H-2S)
1440277_at	1	2.88e-02	3.00	-3.835296	2.65e-01	AU041474	expressed sequence AU041474
1451678_at	1	2.88e-02	-3.00	-3.835595	-3.79e-01	Narf	nuclear prelamin A recognition factor
1457219_at	1	2.88e-02	-3.00	-3.835884	-7.34e-01	Arhgef18	rho/rac guanine nucleotide exchange factor (GEF) 18
1458937_at	1	2.88e-02	3.00	-3.836272	2.96	Tspyl4	TSPY-like 4
1451284_at	1	2.89e-02	-3.00	-3.836459	-3.40e-01	Yipf3	Yip1 domain family, member 3
1441216_at	1	2.89e-02	3.00	-3.836699	5.80e-01	St3gal1	ST3 beta-galactoside alpha-2,3-sialyltransferase 1
1450679_at	1	2.89e-02	-3.00	-3.836731	-4.27e-01	Sike1	suppressor of IKBKE 1
1443252_at	1	2.89e-02	3.00	-3.837193	7.56e-01	Rnf144b	ring finger protein 144B
1455475_at	1	2.89e-02	-3.00	-3.8372	-4.15e-01	Abhd18	abhydrolase domain containing 18
1458181_at	1	2.89e-02	-3.00	-3.83738	-6.40e-01	9030624J02Rik	RIKEN cDNA 9030624J02 gene
1440936_at	1	2.89e-02	-3.00	-3.837494	-3.16e-01	Serac1	serine active site containing 1
1442041_at	1	2.89e-02	-3.00	-3.837745	-7.40e-01	LOC552876	uncharacterized LOC552876
1448248_at	1	2.89e-02	-3.00	-3.838062	-2.80e-01	Crk	v-crk avian sarcoma virus CT10 oncogene homolog
1438125_at	1	2.89e-02	-3.00	-3.838542	-3.96e-01	C230085N15Rik	RIKEN cDNA C230085N15 gene
1460733_at	1	2.89e-02	-3.00	-3.838971	-3.89e-01	Unc119b	unc-119 lipid binding chaperone B
1416882_at	1	2.89e-02	-3.00	-3.839057	-3.45e-01	Rgs10	regulator of G-protein signalling 10
1429600_at	1	2.89e-02	-3.00	-3.839525	-3.16e-01	Mthfd2l	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2-like
1454968_at	1	2.89e-02	3.00	-3.83985	6.61e-01	Dnaaf2	dynein, axonemal assembly factor 2
1458617_at	1	2.90e-02	-3.00	-3.841144	-4.75e-01	Zmynd8	zinc finger, MYND-type containing 8
1419394_s_at	1	2.90e-02	3.00	-3.842223	3.13	S100a8	S100 calcium binding protein A8 (calgranulin A)
1415780_a_at	1	2.90e-02	-3.00	-3.842495	-8.42e-01	Armcx2	armadillo repeat containing, X-linked 2
1437530_at	1	2.90e-02	-3.00	-3.842601	-5.70e-01		
1449372_at	1	2.90e-02	3.00	-3.843238	3.14e-01	Dnajc3	DnaJ heat shock protein family (Hsp40) member C3
1428247_at	1	2.90e-02	-3.00	-3.843374	-2.74e-01	Vps26b	VPS26 retromer complex component B
1457732_at	1	2.90e-02	-3.00	-3.843778	-3.94e-01		
1451302_at	1	2.91e-02	-3.00	-3.843992	-3.34e-01	1110012L19Rik	RIKEN cDNA 1110012L19 gene
1441315_s_at	1	2.91e-02	3.00	-3.844221	7.70e-01	Slc19a2	solute carrier family 19 (thiamine transporter), member 2
1427482_a_at	1	2.91e-02	-3.00	-3.844236	-2.49e-01	Car8	carbonic anhydrase 8
1428202_at	1	2.91e-02	-3.00	-3.844241	-3.71e-01	Fam3a	family with sequence similarity 3, member A
1456283_at	1	2.91e-02	3.00	-3.844412	2.21	Neto1	neuropilin (NRP) and tolloid (TLL)-like 1
1454802_x_at	1	2.91e-02	3.00	-3.844514	2.94e-01	Arih2	ariadne RBR E3 ubiquitin protein ligase 2
1442501_at	1	2.91e-02	-3.00	-3.844667	-9.98e-01	Nrxn1	neurexin I
1451088_a_at	1	2.91e-02	-3.00	-3.844696	-3.63e-01	Oxa1l	oxidase assembly 1-like
1415945_at	1	2.91e-02	3.00	-3.844728	9.96e-01	Mcm5	minichromosome maintenance complex component 5
1437953_at	1	2.91e-02	3.00	-3.844957	3.25e-01	Gpcpd1	glycerophosphocholine phosphodiesterase 1
1457839_at	1	2.91e-02	3.00	-3.845036	7.31e-01		
1423290_at	1	2.91e-02	3.00	-3.845114	6.24e-01	Hyou1	hypoxia up-regulated 1
1417448_at	1	2.91e-02	-3.00	-3.845811	-6.01e-01	Fam207a	family with sequence similarity 207, member A
1422060_at	1	2.91e-02	-2.99	-3.84679	-1.66	Parvb	parvin, beta
1451737_at	1	2.92e-02	2.99	-3.8487	6.15e-01	Pik3r1	phosphatidylinositol 3-kinase, regulatory subunit, polypeptide 1 (p85 alpha)
1429832_at	1	2.92e-02	2.99	-3.848824	5.74e-01	Gm17748///Ppih	peptidyl-prolyl cis-trans isomerase H-like///peptidyl prolyl isomerase H
1452647_a_at	1	2.92e-02	-2.99	-3.84982	-4.91e-01	Dph2	DPH2 homolog
1431046_at	1	2.93e-02	-2.99	-3.851648	-9.26e-01	Ppfia3	protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 3
1443391_at	1	2.93e-02	2.99	-3.85186	4.64e-01		
1424893_at	1	2.93e-02	2.99	-3.852164	5.18e-01	Ndel1	nudE neurodevelopment protein 1 like 1
1446393_at	1	2.93e-02	2.99	-3.852208	8.69e-01	D5Ertd159e	DNA segment, Chr 5, ERATO Doi 159, expressed
1426744_at	1	2.93e-02	-2.99	-3.852383	-3.44e-01	Srebf2	sterol regulatory element binding factor 2
1445332_at	1	2.93e-02	-2.99	-3.852987	-2.08		
1452597_at	1	2.93e-02	2.99	-3.853389	3.49e-01	Cmc2	COX assembly mitochondrial protein 2
1441987_at	1	2.93e-02	-2.99	-3.853635	-6.69e-01	Mbd5	methyl-CpG binding domain protein 5
1447979_at	1	2.93e-02	2.99	-3.853707	1.24	Sgsm1	small G protein signaling modulator 1
1439909_at	1	2.93e-02	2.99	-3.853717	4.22e-01	Zfp521	zinc finger protein 521
1424969_s_at	1	2.93e-02	2.99	-3.854224	2.91	Upp2	uridine phosphorylase 2
1433123_at	1	2.93e-02	2.99	-3.854551	1.35	2900069G24Rik	RIKEN cDNA 2900069G24 gene
1418121_at	1	2.94e-02	-2.99	-3.85515	-3.24e-01	Vrk3	vaccinia related kinase 3
1440955_at	1	2.94e-02	-2.99	-3.85541	-5.12e-01	Kcp	kielin/chordin-like protein
1436499_at	1	2.94e-02	2.99	-3.855588	3.37e-01	Sgms1	sphingomyelin synthase 1
1419170_at	1	2.94e-02	-2.99	-3.85627	-2.82e-01	Fam174a	family with sequence similarity 174, member A
